partID,anomaly,part_id,surface_roughness,parallelism,groove_depth,groove_diameter,que
103202,0,103202,2.067,0.0225,0.791,-0.0395,1
103203,0,103203,1.894,0.064,0.789,-0.038,1
103204,0,103204,2.257,0.048,0.788,-0.044,1
103301,0,103301,2.025,0.027,0.788,-0.0375,1
103503,0,103503,2.325,0.04,0.8,-0.0365,1
103504,0,103504,2.364,0.0335,0.804,-0.036,1
103604,0,103604,2.393,0.079,0.788,-0.036,1
103703,0,103703,1.826,0.038,0.806,-0.0385,1
103803,0,103803,1.708,0.024,0.801,-0.0405,1
103901,0,103901,1.964,0.0625,0.8,-0.038,1
103903,0,103903,1.84,0.022,0.801,-0.0385,1
103904,0,103904,1.922,0.0195,0.798,-0.0345,1
104003,0,104003,1.761,0.032,0.798,-0.032,1
104101,0,104101,1.754,0.0405,0.791,-0.035,1
104102,0,104102,1.965,0.0635,0.804,-0.036,1
104103,0,104103,1.731,0.0165,0.802,-0.0375,1
104104,0,104104,1.635,0.048,0.795,-0.0375,1
104201,0,104201,1.918,0.0425,0.799,-0.039,1
104203,0,104203,1.767,0.041,0.793,-0.038,1
104302,0,104302,1.823,0.024,0.802,-0.0295,1
104303,0,104303,1.518,0.019,0.802,-0.029,1
104304,0,104304,1.52,0.035,0.801,-0.0305,1
104401,0,104401,1.795,0.0255,0.81,-0.0275,1
104402,0,104402,1.505,0.0125,0.809,-0.0275,1
104403,0,104403,1.542,0.016,0.806,-0.0295,1
104404,0,104404,1.516,0.015,0.804,-0.028,1
104501,0,104501,1.514,0.021,0.803,-0.029,1
104502,0,104502,1.86,0.026,0.806,-0.0315,1
104503,0,104503,1.663,0.042,0.794,-0.023,1
104602,0,104602,1.552,0.034,0.792,-0.0275,1
104603,0,104603,1.578,0.0255,0.802,-0.039,1
104604,0,104604,1.654,0.0395,0.806,-0.0415,1
104701,0,104701,1.495,0.035,0.802,-0.04,1
104703,0,104703,1.444,0.0185,0.796,-0.0345,1
104801,0,104801,1.709,0.015,0.782,-0.013,1
104802,0,104802,1.82,0.0395,0.791,-0.0355,1
104804,0,104804,1.516,0.0175,0.795,-0.036,1
104901,0,104901,1.712,0.038,0.798,-0.032,1
104902,0,104902,1.744,0.015,0.793,-0.034,1
104903,0,104903,2.078,0.02,0.793,-0.0325,1
104904,0,104904,1.685,0.016,0.791,-0.033,1
105002,0,105002,1.506,0.0185,0.789,-0.029,1
105003,0,105003,1.619,0.025,0.797,-0.0325,1
105004,0,105004,1.868,0.0205,0.788,-0.033,1
105101,0,105101,1.807,0.014,0.795,-0.0345,1
105102,0,105102,1.654,0.029,0.788,-0.0325,1
105103,0,105103,1.756,0.0325,0.788,-0.0315,1
105104,0,105104,2.488,0.0285,0.792,-0.0335,1
105202,0,105202,1.659,0.04,0.785,-0.03,1
105203,0,105203,1.758,0.0295,0.791,-0.0345,1
105204,0,105204,2.184,0.0745,0.79,-0.032,1
105301,0,105301,1.685,0.047,0.794,-0.033,1
105302,0,105302,1.711,0.041,0.795,-0.0305,1
105303,0,105303,1.549,0.041,0.788,-0.042,1
105304,0,105304,1.856,0.028,0.79,-0.0305,1
105402,0,105402,1.661,0.0235,0.797,-0.0305,1
105403,0,105403,1.677,0.025,0.794,-0.035,1
105404,0,105404,1.747,0.022,0.797,-0.0355,1
105501,0,105501,2.014,0.0335,0.796,-0.037,1
105503,0,105503,1.718,0.038,0.789,-0.04,1
105504,0,105504,1.717,0.027,0.792,-0.0335,1
105601,0,105601,1.819,0.0215,0.798,-0.021,1
105603,0,105603,1.695,0.0155,0.793,-0.0345,1
105604,0,105604,1.684,0.0185,0.795,-0.031,1
105701,0,105701,1.699,0.0305,0.792,-0.034,1
105702,0,105702,1.59,0.0215,0.792,-0.0355,1
105801,0,105801,1.609,0.0315,0.796,-0.04,1
105802,0,105802,1.888,0.0335,0.775,-0.04,1
105803,0,105803,1.872,0.0245,0.784,-0.0405,1
105901,0,105901,1.928,0.0235,0.798,-0.025,1
105903,0,105903,1.944,0.0305,0.779,-0.039,1
106001,0,106001,1.532,0.083,0.789,-0.0305,1
106002,0,106002,1.771,0.0325,0.79,-0.0385,1
106003,0,106003,1.776,0.0265,0.783,-0.0445,1
106102,0,106102,1.496,0.06,0.8,-0.038,1
106103,0,106103,1.677,0.0215,0.783,-0.0405,1
106104,0,106104,1.975,0.03,0.784,-0.0435,1
106201,0,106201,1.785,0.05,0.789,-0.037,1
106202,0,106202,1.502,0.0425,0.8,-0.042,1
106204,0,106204,1.764,0.0325,0.787,-0.041,1
106301,0,106301,1.406,0.0195,0.803,-0.0315,1
106302,0,106302,1.623,0.0295,0.804,-0.0305,1
106401,0,106401,1.678,0.0215,0.802,-0.0305,1
106402,0,106402,1.482,0.0215,0.801,-0.032,1
106403,0,106403,1.509,0.015,0.801,-0.0315,1
106404,0,106404,1.51,0.019,0.803,-0.029,1
106501,3,106501,1.806,0.0385,0.787,-0.153,1
106502,0,106502,1.55,0.036,0.8,-0.032,1
106503,0,106503,1.729,0.0255,0.806,-0.0345,1
106504,3,106504,1.606,0.026,0.796,-0.061,1
106601,0,106601,1.399,0.0365,0.803,-0.0475,1
106602,3,106602,1.543,0.027,0.807,-0.0525,1
106603,3,106603,1.676,0.025,0.89,-0.3675,1
106701,3,106703,1.719,0.04,0.802,-0.034,0
106703,0,106704,1.533,0.0445,0.799,-0.034,0
106704,0,106801,1.84,0.0295,0.799,-0.032,0
106801,0,106802,1.76,0.022,0.8,-0.0285,0
106802,0,106803,1.817,0.0205,0.8,-0.0325,0
106803,0,106901,1.907,0.0155,0.794,-0.0315,0
106901,0,106902,1.907,0.0185,0.801,-0.0365,0
106902,0,106903,1.911,0.0805,0.796,-0.033,0
106903,0,106904,1.714,0.0635,0.808,-0.0335,0
106904,0,107003,1.821,0.0315,0.796,-0.032,0
107003,0,107004,1.651,0.0325,0.806,-0.0325,0
107004,0,107102,1.723,0.1085,0.836,-0.032,0
107102,0,107103,1.962,0.044,0.81,-0.03,0
107103,0,107104,1.967,0.063,0.808,-0.0275,0
107104,0,107203,2.072,0.0415,0.81,-0.0325,0
107203,0,107301,2.18,0.02,0.794,-0.0315,0
107301,0,107302,2.041,0.019,0.8,-0.0335,0
107302,0,107304,1.976,0.031,0.8,-0.0305,0
107304,0,107401,2.17,0.0195,0.801,-0.032,0
107401,0,107402,2.088,0.05,0.794,-0.034,0
107402,0,107403,2.12,0.08,0.796,-0.0305,0
107403,0,107404,2.144,0.0175,0.781,-0.027,0
107404,0,107501,2.137,0.0275,0.8,-0.0365,0
107501,0,107502,2.062,0.032,0.799,-0.032,0
107502,0,107503,2.011,0.028,0.803,-0.037,0
107503,0,107504,2.234,0.038,0.805,-0.028,0
107504,0,107601,1.839,0.069,0.79,-0.0315,0
107601,0,107603,2.055,0.0165,0.8,-0.0325,0
107603,0,107604,2.285,0.013,0.798,-0.031,0
107604,0,107701,1.829,0.029,0.795,-0.03,0
107701,0,107801,2.135,0.0415,0.794,-0.0345,0
107801,0,107802,2.093,0.0685,0.809,-0.0325,0
107802,0,107804,1.605,0.0635,0.803,-0.033,0
107804,0,107903,1.94,0.032,0.792,-0.031,0
107903,0,107904,1.975,0.025,0.781,-0.033,0
107904,0,108001,2.26,0.0305,0.727,-0.0365,0
108001,0,108101,2.025,0.0225,0.793,-0.0345,0
108101,0,108102,1.702,0.0525,0.795,-0.0335,0
108102,0,108103,2.075,0.0205,0.791,-0.0345,0
108103,0,108201,2.176,0.023,0.79,-0.0325,0
108201,0,108203,1.847,0.023,0.801,-0.035,0
108203,0,108204,2.1,0.02,0.793,-0.038,0
108204,0,109001,1.836,0.4055,0.76,-0.0375,0
109001,2,109002,1.861,0.3695,0.766,-0.0335,0
109002,2,109003,1.853,0.5655,0.75,-0.034,0
109003,2,109101,1.723,0.067,0.777,-0.032,0
109101,0,109102,1.651,0.058,0.756,-0.0455,0
109102,0,109103,1.919,0.028,0.78,-0.034,0
109103,0,109104,2.044,0.061,0.774,-0.033,0
109104,0,109202,1.482,0.066,0.818,-0.0325,0
109202,0,109203,1.363,0.0395,0.779,-0.033,0
109203,0,109204,2.136,0.049,0.782,-0.0335,0
109204,0,109301,1.578,0.033,0.781,-0.032,0
109301,0,109302,1.714,0.045,0.777,-0.0305,0
109302,0,109303,1.071,0.0445,0.796,-0.0345,0
109303,0,109401,1.065,0.039,0.793,-0.0315,0
109401,0,109402,1.34,0.056,0.8,-0.031,0
109402,0,109404,1.221,0.049,0.773,-0.0455,0
109404,0,109502,1.537,0.0475,0.78,-0.032,0
109502,0,109503,2.204,0.051,0.78,-0.03,0
109503,0,110301,2.232,0.4365,0.759,-0.0355,0
110301,2,110302,1.791,0.492,0.751,-0.036,0
110302,2,110303,1.275,0.0705,0.801,-0.031,0
110303,0,110304,1.017,0.0735,0.806,-0.034,0
110304,0,110401,1.6,0.0575,0.812,-0.03,0
110401,0,110403,2.244,0.39,0.774,-0.0385,0
110403,2,110404,1.119,0.057,0.792,-0.038,0
110404,0,110501,1.756,0.052,0.812,-0.0295,0
110501,0,110503,1.699,0.3705,0.767,-0.0335,0
110503,2,110601,1.495,0.042,0.79,-0.0305,0
110601,0,110602,1.704,0.349,0.773,-0.0335,0
110602,2,110603,1.508,0.04,0.809,-0.033,0
110603,0,110701,1.347,0.031,0.804,-0.033,0
110701,0,110702,1.966,0.05,0.796,-0.035,0
110702,0,110704,1.678,0.056,0.816,-0.0305,0
110704,0,110801,1.463,0.048,0.781,-0.0335,0
110801,0,110802,1.454,0.0545,0.772,-0.0315,0
110802,0,110803,1.091,0.0835,0.808,-0.032,0
110803,0,110804,1.981,0.039,0.8,-0.03,0
110804,0,110903,2.094,0.3995,0.766,-0.0365,0
110903,2,111002,2.679,0.362,0.768,-0.04,0
111002,2,111003,2.386,0.365,0.77,-0.044,0
111003,2,111101,3.889,0.05,0.787,-0.0465,0
111101,1,111102,3.341,0.085,0.784,-0.0425,0
111102,1,111203,2.547,0.361,0.771,-0.0385,0
111203,2,111301,3.472,0.044,0.794,-0.0415,0
111301,1,111501,4.493,0.096,0.785,-0.046,0
111501,1,111503,2.63,0.049,0.788,0.1155,0
111503,1,111602,1.988,0.077,0.783,-0.0295,0
111602,0,111704,1.911,0.3915,0.763,-0.032,0
111704,2,111801,1.685,0.041,0.785,-0.0295,0
111801,0,111802,2.655,0.3825,13.744,-0.0405,0
111802,2,111803,1.783,0.0475,0.786,-0.029,0
111803,0,111901,1.299,0.0445,0.781,-0.028,0
111901,0,111903,2.015,0.0335,0.791,-0.028,0
111903,0,111904,2.202,0.0475,0.788,-0.029,0
111904,0,112001,2.039,0.039,0.803,-0.0295,0
112001,0,112002,1.901,0.0415,0.783,-0.03,0
112002,0,112003,2.183,0.048,0.787,-0.028,0
112003,0,112004,2.117,0.0375,0.779,-0.0305,0
112004,0,112501,0.936,0.025,0.803,-0.04,0
112501,0,112502,1.863,0.446,0.764,-0.035,0
112502,2,112503,1.256,0.4245,0.755,-0.0385,0
112503,2,112504,1.569,0.646,0.793,-0.034,0
112504,2,112601,2.331,0.5205,0.746,-0.037,0
112601,2,112603,1.583,0.5395,0.749,-0.035,0
112603,2,112701,1.724,0.378,0.763,-0.0365,0
112701,2,112702,1.494,0.76,0.724,-0.036,0
112702,2,112801,2.089,0.056,0.787,-0.0325,0
112801,0,112803,1.674,0.059,0.778,-0.0315,0
112803,0,112804,1.655,0.04,0.782,-0.0315,0
112804,0,112901,2.084,0.059,0.764,-0.0335,0
112901,0,112903,1.714,0.0465,0.779,-0.0315,0
112903,0,112904,1.828,0.049,0.787,-0.0315,0
112904,0,113001,2.019,0.036,0.789,-0.03,0
113001,0,113002,2.444,0.061,0.8,-0.0265,0
113002,0,113003,1.594,0.046,0.783,-0.03,0
113003,0,113101,1.909,0.3655,0.038,-0.028,0
113101,2,113102,1.79,0.038,0.783,-0.0285,0
113102,0,113201,1.869,0.0325,0.789,-0.031,0
113201,0,113202,2.274,0.061,0.79,-0.0275,0
113202,0,113203,2.089,0.0455,0.785,-0.019,0
113203,0,113301,2.0,0.04,0.8,-0.027,0
113301,0,113302,2.302,0.033,0.783,-0.0295,0
113302,0,113303,2.16,0.0365,0.795,-0.029,0
113303,0,113304,1.964,0.0435,0.794,-0.0325,0
113304,0,113401,2.261,0.0905,0.798,-0.0285,0
113401,0,113402,2.096,0.0385,0.784,-0.03,0
113402,0,113404,2.281,0.0335,0.78,-0.0325,0
113404,0,113502,1.923,0.0405,0.8,-0.0305,0
113502,0,113503,2.177,0.0375,0.782,-0.031,0
113503,0,113504,2.155,0.037,0.794,-0.025,0
113504,0,113601,2.227,0.0415,0.542,-0.018,0
113601,3,113602,2.137,0.0275,0.783,-0.027,0
113602,0,113701,2.175,0.039,0.811,-0.028,0
113701,0,113702,2.17,0.041,0.805,-0.03,0
113702,0,113704,2.235,0.036,0.793,-0.0285,0
113704,0,113801,2.14,0.0645,0.792,-0.0265,0
113801,0,113802,2.078,0.0385,0.797,-0.029,0
113802,0,113803,2.084,0.029,0.772,-0.0255,0
113803,0,113804,2.289,0.0525,0.798,-0.024,0
113804,0,113901,2.076,0.052,0.786,-0.0265,0
113901,0,113902,2.096,0.031,0.781,-0.024,0
113902,0,113903,2.122,0.0405,0.784,-0.0255,0
113903,0,113904,2.112,0.0415,0.791,-0.0265,0
113904,0,114001,2.125,0.409,0.757,-0.035,0
114001,2,114002,2.142,0.0385,0.784,-0.026,0
114002,0,114004,1.943,0.03,0.791,-0.0265,0
114004,0,114102,2.073,0.0295,0.784,-0.026,0
114102,0,114104,1.923,0.036,0.784,-0.027,0
114104,0,114201,2.022,0.028,0.786,-0.027,0
114201,0,114202,2.245,0.034,0.79,-0.027,0
114202,0,114203,2.028,0.031,0.785,-0.025,0
114203,0,114204,2.109,0.029,0.787,-0.0265,0
114204,0,114301,2.023,0.028,0.789,-0.026,0
114301,0,114302,2.068,0.031,0.79,-0.0255,0
114302,0,114501,2.062,0.0585,0.803,-0.03,0
114501,0,114504,3.522,0.057,0.795,-0.047,0
114504,1,114604,2.167,0.0365,0.796,-0.0285,0
114604,0,114703,1.992,0.036,0.785,-0.0265,0
114703,0,114704,1.721,0.425,0.762,-0.032,0
114704,2,114902,2.273,0.4005,0.75,-0.035,0
114902,2,114903,2.059,0.041,0.787,-0.0275,0
114903,0,115102,2.066,0.031,0.798,-0.0245,0
115102,0,115103,2.008,0.031,0.798,-0.023,0
115103,0,115104,2.062,0.0535,0.788,-0.0265,0
115104,0,115201,2.176,0.0235,0.773,-0.024,0
115201,0,115202,1.965,0.0365,0.784,-0.0265,0
115202,0,115203,2.147,0.032,0.782,-0.0255,0
115203,0,115301,1.974,0.048,0.785,-0.024,0
115301,0,115303,2.122,0.022,0.786,-0.0265,0
115303,0,115403,1.736,0.034,0.774,-0.0285,0
115403,0,115501,2.096,0.0335,0.782,-0.0265,0
115501,0,115502,2.31,0.019,0.798,-0.035,0
115502,0,115504,2.467,0.0145,0.797,-0.035,0
115504,0,115701,2.958,0.029,0.801,-0.038,0
115701,0,115702,3.366,0.023,0.806,-0.0345,0
115702,0,115703,2.972,0.0255,0.799,-0.036,0
115703,0,115802,2.906,0.0195,0.803,-0.03,0
115802,0,115804,2.739,0.028,0.804,-0.035,0
115804,0,115902,3.194,0.0365,0.804,-0.0335,0
115902,0,115903,2.898,0.04,0.801,-0.0315,0
115903,0,116001,2.968,0.0475,0.805,-0.0335,0
116001,0,116002,2.609,0.038,0.798,-0.035,0
116002,0,116003,2.956,0.023,0.805,-0.0355,0
116003,0,116004,2.828,0.0235,0.8,-0.0365,0
116004,0,116102,3.001,0.075,0.8,-0.0315,0
116102,0,116103,2.992,0.0325,0.799,-0.0335,0
116103,0,116201,2.887,0.052,0.809,-0.0345,0
116201,0,116202,2.788,0.027,0.809,-0.033,0
116202,0,116203,2.828,0.073,0.813,-0.0335,0
116203,0,116204,2.779,0.033,0.813,-0.035,0
116204,0,116301,3.266,0.029,0.8,-0.0355,0
116301,0,116302,2.944,0.1145,0.804,-0.0335,0
116302,0,116303,2.991,0.023,0.801,-0.0335,0
116303,0,116304,2.994,0.0325,0.802,-0.0325,0
116304,0,116401,3.236,0.024,0.8,-0.0325,0
116401,0,116403,2.525,0.028,0.803,-0.0335,0
116403,0,116404,2.937,0.0245,0.802,-0.033,0
116404,0,116501,1.74,0.0245,0.806,-0.03,0
116501,0,116502,1.776,0.0205,0.811,-0.033,0
116502,0,116503,1.832,0.039,0.801,-0.03,0
116503,0,116504,1.873,0.0265,0.795,-0.032,0
116504,0,116604,1.94,0.0185,0.805,-0.033,0
116604,0,116703,1.552,0.0175,0.81,-0.0335,0
116703,0,116704,1.549,0.0175,0.804,-0.0315,0
116704,0,116802,1.62,0.011,0.806,-0.029,0
116802,0,116803,1.586,0.032,0.806,-0.029,0
116803,0,116804,1.572,0.0215,0.81,-0.0335,0
116804,0,116901,3.068,0.0225,0.809,-0.031,0
116901,0,116903,2.9,0.057,0.815,-0.035,0
116903,0,117003,3.086,0.051,0.799,-0.034,0
117003,0,117004,3.149,0.0635,0.806,-0.031,0
117004,0,117104,2.955,0.0855,0.813,-0.033,0
117104,0,117202,2.877,0.025,0.798,-0.0345,0
117202,0,117301,3.14,0.0205,0.812,-0.035,0
117301,0,117401,2.693,0.0235,0.806,-0.033,0
117401,0,117402,1.698,0.039,0.802,-0.0335,0
117402,0,117403,2.884,0.0255,0.804,-0.032,0
117403,0,117404,3.025,0.0375,0.803,-0.033,0
117404,0,117504,2.939,0.036,0.8,-0.0355,0
117504,0,117601,2.99,0.0535,0.798,-0.0335,0
117601,0,117602,2.948,0.02,0.8,-0.033,0
117602,0,117603,2.961,0.0285,0.799,-0.0325,0
117603,0,117604,2.91,0.016,0.799,-0.0355,0
117604,0,117701,1.886,0.02,0.807,-0.032,0
117701,0,117704,2.7,0.0455,0.797,-0.032,0
117704,0,117801,1.953,0.0405,0.804,-0.0325,0
117801,0,117802,2.002,0.0225,0.805,-0.033,0
117802,0,117804,1.819,0.018,0.806,-0.033,0
117804,0,117902,1.964,0.0295,0.805,-0.033,0
117902,0,117904,2.92,0.061,0.785,-0.0455,0
117904,1,118001,3.55,0.032,0.8,-0.0315,0
118001,1,118201,3.676,0.068,0.799,-0.0445,0
118201,1,118301,3.101,0.115,0.788,-0.0295,0
118301,1,118304,1.576,0.0395,0.773,-0.0365,0
118304,0,118501,1.436,0.0355,0.772,-0.0385,0
118501,0,118503,1.61,0.044,0.769,-0.0365,0
118503,0,118504,1.512,0.0565,0.767,-0.037,0
118504,0,118601,1.775,0.0415,0.77,-0.036,0
118601,0,118602,2.019,0.0495,0.773,-0.036,0
118602,0,118603,1.596,0.044,0.773,-0.036,0
118603,0,118701,1.385,0.0355,0.779,-0.037,0
118701,0,118702,1.494,0.0365,0.778,-0.0325,0
118702,0,118703,1.643,0.064,0.797,-0.035,0
118703,0,118801,1.651,0.067,0.805,-0.036,0
118801,0,118802,2.015,0.0415,0.767,-0.033,0
118802,0,118803,1.796,0.078,0.806,-0.0315,0
118803,0,118804,1.759,0.0525,0.766,-0.036,0
118804,0,118901,2.112,0.0465,0.776,-0.0345,0
118901,0,118903,1.724,0.0355,0.784,-0.0415,0
118903,0,118904,2.291,0.0285,0.778,-0.037,0
118904,0,119001,1.558,0.046,0.776,-0.036,0
119001,0,119002,1.961,0.0385,0.774,-0.028,0
119002,0,119003,1.904,0.0885,0.771,-0.027,0
119003,0,119101,1.498,0.0585,0.803,-0.0325,0
119101,0,119102,1.549,0.0705,0.758,-0.0345,0
119102,0,119104,1.818,0.0495,0.775,-0.0345,0
119104,0,119201,1.131,0.042,0.778,-0.037,0
119201,0,119203,1.452,0.0425,0.775,-0.0375,0
119203,0,119301,1.888,0.035,0.784,-0.024,0
119301,0,119302,2.018,0.0365,0.785,-0.026,0
119302,0,119303,2.023,0.053,0.8,-0.035,0
119303,0,119304,2.003,0.0195,0.801,-0.0345,0
119304,0,119401,2.073,0.026,0.784,-0.027,0
119401,0,119402,2.059,0.034,0.781,-0.0285,0
119402,0,119403,2.031,0.0265,0.804,-0.0345,0
119403,0,119501,1.869,0.0385,0.787,-0.028,0
119404,3,119502,1.833,0.024,0.787,-0.023,0
119501,0,119504,1.895,0.0205,0.802,-0.035,0
119502,0,119601,1.753,0.03,0.776,-0.026,0
119504,0,119603,1.921,0.018,0.802,-0.0315,0
119601,0,119604,2.355,0.014,0.802,-0.035,0
119603,0,119701,1.807,0.05,0.788,-0.027,0
119604,0,119702,1.728,0.0355,0.81,-0.0255,0
119701,0,119704,2.105,0.05,0.813,-0.032,0
119702,0,119802,1.789,0.032,0.781,-0.0285,0
119704,0,119803,2.291,0.023,0.798,-0.0355,0
119802,0,119901,2.199,0.0355,0.784,-0.031,0
119803,0,119902,2.072,0.0395,0.781,-0.0365,0
119901,0,119903,2.179,0.0175,0.81,-0.0325,0
119902,0,119904,2.291,0.0245,0.804,-0.0335,0
119903,0,120001,2.349,0.037,0.777,-0.0345,0
119904,0,120003,2.073,0.0165,0.807,-0.0295,0
120001,0,120004,2.06,0.026,0.806,-0.0345,0
120003,0,120101,1.816,0.0395,0.78,-0.034,0
120004,0,120104,1.974,0.028,0.799,-0.036,0
120101,0,120301,2.554,0.0435,0.775,-0.0365,0
120104,0,120302,1.872,0.0185,0.803,-0.0315,0
120301,0,120303,2.12,0.0195,0.804,-0.034,0
120302,0,120304,2.427,0.036,0.804,-0.0305,0
120303,0,120401,2.106,0.0355,0.783,-0.0345,0
120304,0,120402,2.142,0.0155,0.808,-0.0315,0
120401,0,120404,2.199,0.016,0.806,-0.0305,0
120402,0,120502,2.593,0.045,0.784,-0.032,0
120404,0,120503,2.404,0.024,0.78,-0.0285,0
120502,0,120601,2.157,0.05,0.779,-0.036,0
120503,0,120604,2.078,0.03,0.78,-0.036,0
120601,0,120701,2.072,0.033,0.777,-0.034,0
120604,0,120702,1.835,0.04,0.777,-0.033,0
120701,0,120704,2.296,0.0285,0.78,-0.0375,0
120702,0,120803,2.238,0.0285,0.776,-0.036,0
120704,0,120804,2.16,0.0265,0.779,-0.0365,0
120803,0,120901,1.917,0.029,0.775,-0.0335,0
120804,0,120902,2.28,0.036,0.775,-0.033,0
120901,0,120903,2.345,0.025,0.778,-0.034,0
120902,0,120904,2.217,0.036,0.782,-0.0335,0
120903,0,121001,1.724,0.0395,0.783,-0.0265,0
120904,0,121002,1.761,0.03,0.824,-0.025,0
121001,0,121101,1.697,0.0275,0.801,-0.028,0
121002,0,121102,1.854,0.0355,0.789,-0.027,0
121101,0,121202,2.137,0.033,0.786,-0.03,0
121102,0,121204,2.112,0.0375,0.787,-0.0315,0
121202,0,121301,1.909,0.023,0.783,-0.028,0
121204,0,121302,1.874,0.026,0.778,-0.023,0
121301,0,121303,2.009,0.0285,0.784,-0.0245,0
121302,0,121304,1.147,0.04,0.079,-0.0405,0
121303,0,121401,2.036,0.03,0.781,-0.0235,0
121304,0,121402,2.055,0.0295,0.787,-0.026,0
121401,0,121501,1.989,0.039,0.78,-0.0255,0
121402,0,121503,2.676,0.023,0.782,-0.037,0
