part_id;surface_roughness;parallelism;groove_depth;groove_diameter
111801;1.685;0.041;0.785;-0.0295
111802;2.655;0.3825;13.744;-0.0405
111803;1.783;0.0475;0.786;-0.029
111901;1.299;0.0445;0.781;-0.028
111903;2.015;0.0335;0.791;-0.028
111904;2.202;0.0475;0.788;-0.029
112001;2.039;0.039;0.803;-0.0295
112002;1.901;0.0415;0.783;-0.03
112003;2.183;0.048;0.787;-0.028
112004;2.117;0.0375;0.779;-0.0305
112501;0.936;0.025;0.803;-0.04
112502;1.863;0.446;0.764;-0.035
112503;1.256;0.4245;0.755;-0.0385
112504;1.569;0.646;0.793;-0.034
112601;2.331;0.5205;0.746;-0.037
112603;1.583;0.5395;0.749;-0.035
112701;1.724;0.378;0.763;-0.0365
112702;1.494;0.76;0.724;-0.036
112801;2.089;0.056;0.787;-0.0325
112803;1.674;0.059;0.778;-0.0315
112804;1.655;0.04;0.782;-0.0315
112901;2.084;0.059;0.764;-0.0335
112903;1.714;0.0465;0.779;-0.0315
112904;1.828;0.049;0.787;-0.0315
113001;2.019;0.036;0.789;-0.03
113002;2.444;0.061;0.8;-0.0265
113003;1.594;0.046;0.783;-0.03
113101;1.909;0.3655;0.038;-0.028
113102;1.79;0.038;0.783;-0.0285
113201;1.869;0.0325;0.789;-0.031
113202;2.274;0.061;0.79;-0.0275
113203;2.089;0.0455;0.785;-0.019
113301;2.0;0.04;0.8;-0.027
113302;2.302;0.033;0.783;-0.0295
113303;2.16;0.0365;0.795;-0.029
113304;1.964;0.0435;0.794;-0.0325
113401;2.261;0.0905;0.798;-0.0285
113402;2.096;0.0385;0.784;-0.03
113404;2.281;0.0335;0.78;-0.0325
113502;1.923;0.0405;0.8;-0.0305
113503;2.177;0.0375;0.782;-0.031
113504;2.155;0.037;0.794;-0.025
113601;2.227;0.0415;0.542;-0.018
113602;2.137;0.0275;0.783;-0.027
113701;2.175;0.039;0.811;-0.028
113702;2.17;0.041;0.805;-0.03
113704;2.235;0.036;0.793;-0.0285
113801;2.14;0.0645;0.792;-0.0265
113802;2.078;0.0385;0.797;-0.029
113803;2.084;0.029;0.772;-0.0255
113804;2.289;0.0525;0.798;-0.024
113901;2.076;0.052;0.786;-0.0265
113902;2.096;0.031;0.781;-0.024
113903;2.122;0.0405;0.784;-0.0255
113904;2.112;0.0415;0.791;-0.0265
114001;2.125;0.409;0.757;-0.035
114002;2.142;0.0385;0.784;-0.026
114004;1.943;0.03;0.791;-0.0265
114102;2.073;0.0295;0.784;-0.026
114104;1.923;0.036;0.784;-0.027
114201;2.022;0.028;0.786;-0.027
114202;2.245;0.034;0.79;-0.027
114203;2.028;0.031;0.785;-0.025
114204;2.109;0.029;0.787;-0.0265
114301;2.023;0.028;0.789;-0.026
114302;2.068;0.031;0.79;-0.0255
114501;2.062;0.0585;0.803;-0.03
114504;3.522;0.057;0.795;-0.047
114604;2.167;0.0365;0.796;-0.0285
114703;1.992;0.036;0.785;-0.0265
114704;1.721;0.425;0.762;-0.032
114902;2.273;0.4005;0.75;-0.035
114903;2.059;0.041;0.787;-0.0275
115102;2.066;0.031;0.798;-0.0245
115103;2.008;0.031;0.798;-0.023
115104;2.062;0.0535;0.788;-0.0265
115201;2.176;0.0235;0.773;-0.024
115202;1.965;0.0365;0.784;-0.0265
115203;2.147;0.032;0.782;-0.0255
115301;1.974;0.048;0.785;-0.024
115303;2.122;0.022;0.786;-0.0265
115403;1.736;0.034;0.774;-0.0285
115501;2.096;0.0335;0.782;-0.0265
115502;2.31;0.019;0.798;-0.035
115504;2.467;0.0145;0.797;-0.035
115701;2.958;0.029;0.801;-0.038
115702;3.366;0.023;0.806;-0.0345
115703;2.972;0.0255;0.799;-0.036
115802;2.906;0.0195;0.803;-0.03
115804;2.739;0.028;0.804;-0.035
115902;3.194;0.0365;0.804;-0.0335
115903;2.898;0.04;0.801;-0.0315
116001;2.968;0.0475;0.805;-0.0335
116002;2.609;0.038;0.798;-0.035
116003;2.956;0.023;0.805;-0.0355
116004;2.828;0.0235;0.8;-0.0365
116102;3.001;0.075;0.8;-0.0315
116103;2.992;0.0325;0.799;-0.0335
116201;2.887;0.052;0.809;-0.0345
116202;2.788;0.027;0.809;-0.033
116203;2.828;0.073;0.813;-0.0335
116204;2.779;0.033;0.813;-0.035
116301;3.266;0.029;0.8;-0.0355
116302;2.944;0.1145;0.804;-0.0335
116303;2.991;0.023;0.801;-0.0335
116304;2.994;0.0325;0.802;-0.0325
116401;3.236;0.024;0.8;-0.0325
116403;2.525;0.028;0.803;-0.0335
116404;2.937;0.0245;0.802;-0.033
116501;1.74;0.0245;0.806;-0.03
116502;1.776;0.0205;0.811;-0.033
116503;1.832;0.039;0.801;-0.03
116504;1.873;0.0265;0.795;-0.032
116604;1.94;0.0185;0.805;-0.033
116703;1.552;0.0175;0.81;-0.0335
116704;1.549;0.0175;0.804;-0.0315
116802;1.62;0.011;0.806;-0.029
116803;1.586;0.032;0.806;-0.029
116804;1.572;0.0215;0.81;-0.0335
116901;3.068;0.0225;0.809;-0.031
116903;2.9;0.057;0.815;-0.035
117003;3.086;0.051;0.799;-0.034
117004;3.149;0.0635;0.806;-0.031
117104;2.955;0.0855;0.813;-0.033
117202;2.877;0.025;0.798;-0.0345
117301;3.14;0.0205;0.812;-0.035
117401;2.693;0.0235;0.806;-0.033
117402;1.698;0.039;0.802;-0.0335
117403;2.884;0.0255;0.804;-0.032
117404;3.025;0.0375;0.803;-0.033
117504;2.939;0.036;0.8;-0.0355
117601;2.99;0.0535;0.798;-0.0335
117602;2.948;0.02;0.8;-0.033
117603;2.961;0.0285;0.799;-0.0325
117604;2.91;0.016;0.799;-0.0355
117701;1.886;0.02;0.807;-0.032
117704;2.7;0.0455;0.797;-0.032
117801;1.953;0.0405;0.804;-0.0325
117802;2.002;0.0225;0.805;-0.033
117804;1.819;0.018;0.806;-0.033
117902;1.964;0.0295;0.805;-0.033
117904;2.92;0.061;0.785;-0.0455
118001;3.55;0.032;0.8;-0.0315
118201;3.676;0.068;0.799;-0.0445
118301;3.101;0.115;0.788;-0.0295
118304;1.576;0.0395;0.773;-0.0365
118501;1.436;0.0355;0.772;-0.0385
118503;1.61;0.044;0.769;-0.0365
118504;1.512;0.0565;0.767;-0.037
118601;1.775;0.0415;0.77;-0.036
118602;2.019;0.0495;0.773;-0.036
118603;1.596;0.044;0.773;-0.036
118701;1.385;0.0355;0.779;-0.037
118702;1.494;0.0365;0.778;-0.0325
118703;1.643;0.064;0.797;-0.035
118801;1.651;0.067;0.805;-0.036
118802;2.015;0.0415;0.767;-0.033
118803;1.796;0.078;0.806;-0.0315
118804;1.759;0.0525;0.766;-0.036
118901;2.112;0.0465;0.776;-0.0345
118903;1.724;0.0355;0.784;-0.0415
118904;2.291;0.0285;0.778;-0.037
119001;1.558;0.046;0.776;-0.036
119002;1.961;0.0385;0.774;-0.028
119003;1.904;0.0885;0.771;-0.027
119101;1.498;0.0585;0.803;-0.0325
119102;1.549;0.0705;0.758;-0.0345
119104;1.818;0.0495;0.775;-0.0345
119201;1.131;0.042;0.778;-0.037
119203;1.452;0.0425;0.775;-0.0375
119301;1.888;0.035;0.784;-0.024
119302;2.018;0.0365;0.785;-0.026
119303;2.023;0.053;0.8;-0.035
119304;2.003;0.0195;0.801;-0.0345
119401;2.073;0.026;0.784;-0.027
119402;2.059;0.034;0.781;-0.0285
119403;2.031;0.0265;0.804;-0.0345
119501;1.869;0.0385;0.787;-0.028
119502;1.833;0.024;0.787;-0.023
119504;1.895;0.0205;0.802;-0.035
119601;1.753;0.03;0.776;-0.026
119603;1.921;0.018;0.802;-0.0315
119604;2.355;0.014;0.802;-0.035
119701;1.807;0.05;0.788;-0.027
119702;1.728;0.0355;0.81;-0.0255
119704;2.105;0.05;0.813;-0.032
119802;1.789;0.032;0.781;-0.0285
119803;2.291;0.023;0.798;-0.0355
119901;2.199;0.0355;0.784;-0.031
119902;2.072;0.0395;0.781;-0.0365
119903;2.179;0.0175;0.81;-0.0325
119904;2.291;0.0245;0.804;-0.0335
120001;2.349;0.037;0.777;-0.0345
120003;2.073;0.0165;0.807;-0.0295
120004;2.06;0.026;0.806;-0.0345
120101;1.816;0.0395;0.78;-0.034
120104;1.974;0.028;0.799;-0.036
120301;2.554;0.0435;0.775;-0.0365
120302;1.872;0.0185;0.803;-0.0315
120303;2.12;0.0195;0.804;-0.034
120304;2.427;0.036;0.804;-0.0305
120401;2.106;0.0355;0.783;-0.0345
120402;2.142;0.0155;0.808;-0.0315
120404;2.199;0.016;0.806;-0.0305
120502;2.593;0.045;0.784;-0.032
120503;2.404;0.024;0.78;-0.0285
120601;2.157;0.05;0.779;-0.036
120604;2.078;0.03;0.78;-0.036
120701;2.072;0.033;0.777;-0.034
120702;1.835;0.04;0.777;-0.033
120704;2.296;0.0285;0.78;-0.0375
120803;2.238;0.0285;0.776;-0.036
120804;2.16;0.0265;0.779;-0.0365
120901;1.917;0.029;0.775;-0.0335
120902;2.28;0.036;0.775;-0.033
120903;2.345;0.025;0.778;-0.034
120904;2.217;0.036;0.782;-0.0335
121001;1.724;0.0395;0.783;-0.0265
121002;1.761;0.03;0.824;-0.025
121101;1.697;0.0275;0.801;-0.028
121102;1.854;0.0355;0.789;-0.027
121202;2.137;0.033;0.786;-0.03
121204;2.112;0.0375;0.787;-0.0315
121301;1.909;0.023;0.783;-0.028
121302;1.874;0.026;0.778;-0.023
121303;2.009;0.0285;0.784;-0.0245
121304;1.147;0.04;0.079;-0.0405
121401;2.036;0.03;0.781;-0.0235
121402;2.055;0.0295;0.787;-0.026
121501;1.989;0.039;0.78;-0.0255
121503;2.676;0.023;0.782;-0.037
121504;2.503;0.03;0.781;-0.0355
121602;1.953;0.025;0.788;-0.0265
121603;2.256;0.036;0.78;-0.026
121604;2.187;0.0205;0.788;-0.026
121701;1.926;0.0275;0.783;-0.035
121702;1.964;0.05;0.78;-0.0355
121703;2.497;0.0145;0.804;-0.032
121704;2.394;0.02;0.805;-0.034
121801;2.142;0.0335;0.779;-0.034
121802;1.908;0.0325;0.783;-0.034
121803;2.526;0.0265;0.805;-0.0325
121804;2.037;0.0195;0.812;-0.032
121901;2.268;0.0385;0.785;-0.034
122002;2.184;0.021;0.808;-0.0315
122003;2.456;0.0325;0.807;-0.034
122004;2.783;0.07;0.813;-0.032
122101;1.848;0.029;0.78;-0.0255
122104;2.737;0.0155;0.808;-0.0305
122202;2.384;0.0185;0.811;-0.0305
122301;1.831;0.034;0.782;-0.022
122303;2.786;0.0175;0.809;-0.033
122304;2.692;0.0275;0.807;-0.032
122401;2.272;0.036;0.776;-0.034
122402;2.808;0.0265;0.801;-0.029
122403;2.056;0.024;0.814;-0.032
122501;2.212;0.037;0.787;-0.0265
122601;2.501;0.396;0.762;-0.0375
122603;2.539;0.034;0.813;-0.0335
122604;2.65;0.022;0.808;-0.034
122701;2.042;0.042;0.782;-0.0255
122702;2.243;0.0175;0.801;-0.0325
122703;2.639;0.025;0.807;-0.036
122704;2.583;0.029;0.81;-0.0355
122802;2.489;0.0445;0.808;-0.0315
122803;2.696;0.021;0.807;-0.0315
122804;2.839;0.0255;0.799;-0.0365
122901;6.38;0.061;0.778;-0.0405
122902;3.696;0.134;0.798;-0.0395
122903;5.879;0.155;0.786;-0.0505
122904;4.213;0.079;0.78;-0.0455
123004;6.98;0.049;0.785;-0.037
123101;7.983;0.111;0.77;-0.0435
123102;3.522;0.082;0.782;-0.042
123103;6.463;0.094;0.793;-0.052
123202;6.63;0.068;0.771;-0.043
123301;6.394;0.094;0.772;-0.0455
123302;6.165;0.234;0.781;-0.0505
123303;6.035;0.117;0.795;-0.046
123304;6.543;0.044;0.776;-0.0415
123402;6.731;0.28;0.783;-0.0435
123403;6.651;0.04;0.765;-0.0245
123502;6.345;0.107;0.777;-0.0395
123503;4.509;0.19;0.758;-0.0425
123504;7.013;0.061;0.783;-0.0465
123601;6.386;0.161;0.767;-0.049
123603;6.895;0.101;0.768;-0.035
123604;6.786;0.051;0.779;-0.0415
123701;6.858;0.08;0.776;-0.0475
123702;6.745;0.054;0.781;-0.047
123703;6.79;0.048;0.783;-0.0455
123801;6.436;0.143;0.775;-0.0135
123802;6.68;0.045;0.774;-0.039
123901;6.754;0.045;0.795;-0.0525
123903;7.005;0.179;0.797;-0.044
124002;3.172;0.0502;0.793;-0.0235
124003;2.598;0.0638;0.776;-0.039
124102;4.191;0.0672;0.807;-0.0385
124103;2.683;0.0864;0.798;-0.0425
124104;3.401;0.0358;0.795;-0.036
124201;2.232;0.0386;0.792;-0.0375
124203;3.741;0.0265;0.797;-0.0305
124204;3.999;0.124;0.802;-0.0375
124302;3.208;0.0484;0.805;-0.039
124303;2.119;0.0242;0.801;-0.036
124401;2.7;0.0376;0.793;-0.0325
124402;2.83;0.025;0.801;-0.0405
124403;2.837;0.02;0.801;-0.038
124404;3.378;0.0485;0.779;-0.0305
124501;1.342;0.0746;0.803;-0.0375
124502;3.922;0.039;0.798;-0.0405
124504;1.853;0.0462;0.808;-0.034
124601;4.175;0.0304;0.804;-0.0365
124602;2.232;0.1746;0.8;-0.035
124603;2.362;0.0606;0.802;-0.033
124604;2.324;0.074;0.812;-0.0375
124702;2.268;0.0454;0.803;-0.037
124703;1.996;0.0416;0.798;-0.034
124704;2.29;0.0468;0.81;-0.041
124801;1.865;0.0774;0.805;-0.0335
124802;6.151;0.302;0.747;-0.0445
124802;6.123;0.302;0.797;-0.038
124804;2.998;0.0586;0.802;-0.0365
124901;6.304;0.04;0.79;-0.0435
